author,total_top15_conferences,last_affiliation,NeurIPS,ACL,CVPR,ECCV,EMNLP,IJCNLP,ICLR,WS,COLING,LREC,ICCV,SEMEVAL,ICML,RANLP,JEPTALNRECITAL,orcid,last_affiliation_country
Olivier Bonami,6,Université Paris Cité,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,https://orcid.org/0000-0003-0688-3855,FR
Ludovic Jean-Louis,6,Université Paris sciences et lettres,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0,FR
Anthony Rousseau,6,French National Centre for Scientific Research,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,https://orcid.org/0000-0002-5074-824X,FR
Julien Velcin,6,Sorbonne Université,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,https://orcid.org/0000-0002-2262-045X,FR
Hatim Khouzaimi,6,Orange (France),0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0,FR
Houda Saadane,6,Université Grenoble Alpes,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,FR
Laurent Prévot,6,Université de Montpellier,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0002-4627-4379,FR
Bruno Gaume,6,Université de Toulouse,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,https://orcid.org/0000-0002-1998-7170,FR
Romain Brixtel,6,Université de Caen Normandie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0,FR
Iris Eshkol,6,Modèles Dynamiques Corpus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0,FR
Camille Fauth,6,Strasbourg/Lorraine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0,FR
Lionel Ramadier,6,Université Paris-Saclay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0,FR
Pierre Badin,6,Université Grenoble Alpes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,https://orcid.org/0000-0001-7440-820X,FR
Pascal Perrier,6,Université Grenoble Alpes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,https://orcid.org/0000-0003-2192-4176,FR
Anthony Larcher,6,Le Mans Université,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,https://orcid.org/0000-0003-4398-0224,FR
Lise Crevier-Buchman,6,Université Paris-Saclay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0,FR
Pierre Ménard,6,Association Clinique et Thérapeutique Infantile du Val de Marne,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,FR
Alexandre Bérard,6,Université Grenoble Alpes,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FR
Salima Mdhaffar,6,Laboratoire Informatique d'Avignon,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0,FR
Julien Launay,6,Nantes Université,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,FR
Valentin Barriere,6,Institut polytechnique de Paris,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0002-0663-355X,FR
Nicolas Stefanovitch,6,Sorbonne Université,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,FR
Gaël Lejeune,6,Sorbonne Université,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,https://orcid.org/0000-0002-4795-2362,FR
Karën Fort,6,Sorbonne Université,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0,FR
