author,total_top15_conferences,last_affiliation,NeurIPS,ACL,CVPR,ECCV,EMNLP,IJCNLP,ICLR,WS,COLING,LREC,ICCV,SEMEVAL,ICML,RANLP,JEPTALNRECITAL,orcid,last_affiliation_country
Nathalie Camelin,18,Le Mans Université,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,7.0,0,FR
Delphine Bernhard,18,Strasbourg/Lorraine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,10.0,0,FR
Davide Buscaldi,17,Sorbonne Université,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,8.0,0.0,0.0,5.0,https://orcid.org/0000-0003-1112-3789,FR
Thierry Charnois,17,Sorbonne Université,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,9.0,https://orcid.org/0000-0001-9700-5075,FR
Maria Mitrofan,17,Nantes Université,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,0,FR
Marco Dinarelli,17,Université Grenoble Alpes,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,6.0,0,FR
Odalric-Ambrym Maillard,17,Université de Lille,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,FR
Brigitte Bigi,17,Université Grenoble Alpes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0,FR
François Yvon,17,Institut polytechnique de Paris,0.0,5.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0002-7972-7442,FR
Ludovic Denoyer,16,Sorbonne Université,3.0,1.0,1.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,FR
Loïc Barrault,16,Le Mans Université,0.0,6.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0002-0634-6147,FR
Christophe Servan,16,Institut Universitaire de France,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,7.0,0,FR
Maximin Coavoux,16,Université Grenoble Alpes,0.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,https://orcid.org/0000-0003-4089-4558,FR
Pascal Denis,16,Université Paris sciences et lettres,0.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0,FR
Nadi Tomeh,16,Université Paris Cité,0.0,7.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0,FR
Manel Zarrouk,16,Sorbonne Université,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,1.0,0.0,1.0,4.0,https://orcid.org/0000-0002-8160-5671,FR
Irina Illina,16,Strasbourg/Lorraine,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,5.0,0,FR
