numero_national_de_structure;libelle;sigle;annee_de_creation;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;site_web;adresse;code_postal;commune;nom_du_responsable;prenom_du_responsable;titre_du_responsable;label_numero;tutelles;sigles_des_tutelles;code_de_nature_de_tutelle;nature_de_tutelle;uai_des_tutelles;siret_des_tutelles;code_de_type_de_tutelle;type_de_tutelle;numero_de_structure_enfant;numero_de_structure_parent;numero_de_structure_historique;type_de_succession;code_de_type_de_succession;annee_d_effet_historique;code_domaine_scientifique;domaine_scientifique;code_panel_erc;panel_erc;fiche_rnsr
199617793M;Sciences pour l'Action et le Développement : Activités, Produits, Territoires;SADAPT;1996;Unité mixte;22;2;https://www6.versailles-grignon.inrae.fr/sadapt;Campus Agro Paris-Saclay - 22 place de l'Agronomie;91120;PALAISEAU;HANNACHI,MARTIN;Mourad,Philippe;Directeur Adjoint,Directeur;UMR 1048,UMR 1048,;AgroParisTech (Inst Sc et Ind du Vivant et Environnement),Institut national de recherche pour l'agriculture, l'alimentation et l'environnement,Université Paris-Saclay;AGROPARISTECH,INRAE,U PARIS-SACLAY;AUT_ETAB,EPST,UNIV;Autres établissements ESR,Organismes de type EPST,Université;0753465J,,0912408Y;13000285000134,18007003901803,13002602400054;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;10;Sciences agronomiques et écologiques;LS9;Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199617793M&PUBLIC=OK
201220091R;Laboratoire des Sciences et Techniques de l'Information, de la Communication et de la Connaissance;LAB-STICC;2012;Unité mixte;22;2;http://www.lab-sticc.fr/;;29285;BREST CEDEX 2;PERSON,RIUS;Christian,Eric;DIR,dir adjoint;UMR 6285,UMR 6285,UMR 6285,,,UMR 6285,UMR 6285;Université de Brest,Université Bretagne Sud,Centre national de la recherche scientifique,Institut mines télécom,Ecole nationale supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire,Ecole Nationale Ingénieurs Brest,Ecole nationale supérieure de techniques avancées Bretagne;BREST,BRETAGNE-SUD,CNRS,MinesTélécom,IMT Atlantique,ENI BREST,ENSTA BRETAGNE;UNIV,UNIV,EPST,AUT_ETAB,AUT_ETAB,AUT_ETAB,AUT_ETAB;Université,Université,Organismes de type EPST,Autres établissements ESR,Autres établissements ESR,Autres établissements ESR,Autres établissements ESR;0290346U,0561718N,0753639Y,0755661W,0292355C,0290119X,0290125D;19290346600014,19561718800600,18008901303720,18009202500089,18009202500121,19290119700025,19290125400016;TUTE,TUTE,TUTE,TUTE,TUTE,PART,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement participant,établissement participant;;;;;;;8,9;Sciences pour l'ingénieur,Sciences et technologies de l'information et de la communication;"PE10;PE6;SH4;PE7";Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management,Computer science and informatics : informatics and information systems, computer science, scientific computing, intelligent systems,The Human Mind and Its Complexity : Cognitive science, psychology, linguistics, theoretical philosophy,Systems and communication engineering : Electrical, electronic, communication, optical and systems engineering;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201220091R&PUBLIC=OK
201320551L;Fédération de Recherche en Mathématiques Auvergne-Rhône-Alpes;FRMARA;2013;Structures Fédératives de Recherche;3;3;http://frmraa.math.cnrs.fr/;3 place Vaserely;63178;AUBIERE CEDEX;WAGNER;Frank Olaf;Directeur;,,,,FR 3490,,FR 3490,,,FR 3490;Institut polytechnique de Grenoble,Université Jean Monnet Saint-Etienne,Ecole Centrale de Lyon,Institut National des Sciences Appliquées Lyon,Université Claude Bernard Lyon 1,Université Savoie Chambéry,Centre national de la recherche scientifique,Ecole Normale Supérieure de Lyon,Université Grenoble Alpes,Université Clermont Auvergne  (EPE);GRENOBLE INP,SAINT-ETIENNE,EC. CENTRALE LYON,INSA LYON,LYON 1,CHAMBERY,CNRS,ENS LYON,GRENOBLE ALPES,U Clermont Auvergne;AUT_ETAB,UNIV,AUT_ETAB,AUT_ETAB,UNIV,UNIV,EPST,AUT_ETAB,UNIV,UNIV;Autres établissements ESR,Université,Autres établissements ESR,Autres établissements ESR,Université,Université,Organismes de type EPST,Autres établissements ESR,Université,Université;0381912X,0421095M,0690187D,0690192J,0691774D,0730858L,0753639Y,0694123G,0383546Y,0632084Y;19381912500017,19421095100423,19690187000010,19690192000013,19691774400019,19730858800015,18008901303720,13000812100019,13002608100013,13002806100013;TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;199112391M;;;;;;1;Mathématiques et leurs interactions;PE1;Mathematics : All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201320551L&PUBLIC=OK
201421659L;Pharmacologie et Thérapies des Addictions;;2014;Unité mixte;22;2;;45 rue des Saints Pères;75006;PARIS;NOBLE;Florence;DIR;EMR 3649,ERL 3649;Centre national de la recherche scientifique,Université Paris Cité;CNRS,U PARIS Cité;EPST,UNIV;Organismes de type EPST,Université;0753639Y,0755976N;18008901303720,13002573700011;TUTE,TUTE;établissement tutelle,établissement tutelle;;200616420B;;;;;5;Biologie, médecine et santé;"LS5;LS7";Neuroscience and Disorders of the Nervous System : Nervous system development, homeostasis and ageing, nervous system function and dysfunction, systems neuroscience and modelling, biological basis of cognitive processes and of behaviour, neurological and mental disorders,Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201421659L&PUBLIC=OK
201421661N;Métabolisme et physiologie rénale;;2014;Unité mixte;22;2;;15 rue de l'Ecole de Médecine;75270;PARIS CEDEX 06;CRAMBERT;Gilles;DIR;EMR 8228,,ERL 8228;Centre national de la recherche scientifique,Sorbonne Université,Université Paris Cité;CNRS,SORBONNE UNIV.,U PARIS Cité;EPST,UNIV,UNIV;Organismes de type EPST,Université,Université;0753639Y,0755890V,0755976N;18008901303720,13002338500011,13002573700011;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;200716512X;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201421661N&PUBLIC=OK
201221520U;Structure fédérative en Logistique;SFLOG;2012;Structures Fédératives de Recherche;3;3;;Quai frissard;76063;Le Havre cedex;BERTELLE;Cyrille;Professeur;FED 4230;Université Le Havre;LE HAVRE;UNIV;Université;0762762P;19762762300097;TUTE;établissement tutelle;;;;;;;;;SH1;Individuals, Markets and Organisations : Economics, finance, management;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201221520U&PUBLIC=OK
201521641M;MARine Biodiversity, Exploitation & Conservation;MARBEC;2015;Unité mixte;22;2;http://www.umr-marbec.fr;av Jean Monnet-CS30171;34203;SETE CEDEX;DAGORN,CUCCHI,AUGUET,FROMENTIN;Laurent,Patricia,Jean-Christophe,Jean-Marc;DIR,Directrice adjointe,Directeur adjoint,DIR-ADJ;UMR 9190,UMR_D 248,UMR 9190,USC 1496,UMR 9190;Centre national de la recherche scientifique,Institut de recherche pour le developpement,Institut Francais de Recherche pour l'Exploitation de la Mer,Institut national de recherche pour l'agriculture, l'alimentation et l'environnement,Université de Montpellier (EPE);CNRS,IRD,IFREMER,INRAE,MONTPELLIER;EPST,EPST,EPIC,EPST,UNIV;Organismes de type EPST,Organismes de type EPST,Organismes de type EPIC,Organismes de type EPST,Université;0753639Y,0133973Y,0922262J,,0342490X;18008901303720,18000602500159,33071536800032,18007003901803,13002979600013;TUTE,TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;201122292M;200919527R;;;;;5,10;Biologie, médecine et santé,Sciences agronomiques et écologiques;"LS9;LS8";Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201521641M&PUBLIC=OK
200112474J;Interfaces, Traitements, Organisation et Dynamique des Systèmes;ITODYS;2001;Unité mixte;22;2;http://www.itodys.univ-paris7.fr;15 rue Jean-Antoine de Baïf;75205;PARIS CEDEX 13;MAUREL,AMMAR;François,Souad;Directeur,Dir Adjointe;UMR 7086,UMR 7086,UMR 7086;Centre national de la recherche scientifique,Ministère de la défense,Université Paris Cité;CNRS,MIN.DEF.,U PARIS Cité;EPST,AUT_OP_FR,UNIV;Organismes de type EPST,Autre opérateur de droit français,Université;0753639Y,,0755976N;18008901303720,11009001600012,13002573700011;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;4;Chimie;"PE4;PE3";Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics,Condensed matter physics : structure, electronic properties, fluids, nanosciences, biological physics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200112474J&PUBLIC=OK
201420722T;Centre d'Etudes en Sciences Sociales sur les Mondes Africains, Américains et Asiatiques;CESSMA;2014;Unité propre;21;2;http://www.cessma.univ-paris-diderot.fr/;Bât. Olympe de Gouges - 8 Rue Albert Einstein;75013;Paris;OULD AHMED,NATIVEL;Pepita,Didier;Directrice,Directeur adjoint;UMR 245,UMR 245,UMR_D 245;Institut National des Langues et Civilisations Orientales Paris,Institut de recherche pour le developpement,Université Paris Cité;INALCO PARIS,IRD,U PARIS Cité;AUT_ETAB,EPST,UNIV;Autres établissements ESR,Organismes de type EPST,Université;0753488J,0133973Y,0755976N;19753488600092,18000602500159,13002573700011;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;201019051U;renouvellement;R;2014;6;Sciences humaines et humanités;"SH6;SH2;SH3";The Study of the Human Past : Archaeology and history,Institutions, Governance and Legal Systems : Political science, international relations, law,The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201420722T&PUBLIC=OK
201119640E;Institut Jean-Pierre BOURGIN;IJPB;2010;Unité mixte;22;2;https://ijpb.versailles.inrae.fr/;Route de Saint-Cyr -  RD 10;78026;Versailles;NORTH;Helen;;UMR 1318,UMR 1318,;AgroParisTech (Inst Sc et Ind du Vivant et Environnement),Institut national de recherche pour l'agriculture, l'alimentation et l'environnement,Université Paris-Saclay;AGROPARISTECH,INRAE,U PARIS-SACLAY;AUT_ETAB,EPST,UNIV;Autres établissements ESR,Organismes de type EPST,Université;0753465J,,0912408Y;13000285000134,18007003901803,13002602400054;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;10;Sciences agronomiques et écologiques;LS9;Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201119640E&PUBLIC=OK
201822642M;Simulation et Analyse de la morphogenèse in siliCo;MOSAIC;2018;Unité propre;21;2;;;;;Godin;Christophe;;;Institut national de la recherche en informatique et automatique;INRIA;EPST;Organismes de type EPST;0780491K;18008904700013;TUTE;établissement tutelle;;202224236C;;;;;1,5;Mathématiques et leurs interactions,Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201822642M&PUBLIC=OK
200918522Y;Lettres, Idées, Savoirs;LIS;2009;Unité propre;21;2;http://lis.u-pec.fr/;UPEC Faculté des Lettres et Sciences humaines - Campus Centre - Bâtiment i3 - Bureau 221 - 61, Ave. du Général de Gaulle;94010;CRÉTEIL CEDEX;RAFFARIN;Anne;Co-directeur;EA 4395;Université Paris est Créteil Val de Marne;UPEC;UNIV;Université;0941111X;19941111700013;TUTE;établissement tutelle;;;;;;;6;Sciences humaines et humanités;SH5;Cultures and Cultural Production : Literary studies, cultural studies, study of the arts, philosophy;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200918522Y&PUBLIC=OK
200621933U;Département de Microbiologie;;2006;Unité propre;21;2;;Institut Pasteur, 25-28 rue du Docteur ROUX;75724;Paris Cedex 15;BARRAS;Frédéric;;;Institut Pasteur;INSTITUT PASTEUR;FONDATION;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0755366A;77568489700017;TUTE;établissement tutelle;202224197K,202023558Z,202023533X,201822735N,201822734M,201722526R,201722521K,201722516E,201622230Y,201421589K,201421581B,201321617V,201121919G,201021587A,201021583W,200921579W,200818095N,200718150C,200418149P,200418146L,200218156F,199218201Y,199118144R;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200621933U&PUBLIC=OK
201722508W;Migrations, Interculturalité et Education en Amazonie;MINEA;2017;Unité propre;21;2;;Campus de Troubiran;97337;Cayenne;HIDAIR;Isabelle;DIR;EA 7485;Université de la Guyane;GUYANE;UNIV;Université;9730429D;13002059700014;TUTE;établissement tutelle;;;;;;;;;SH2;Institutions, Governance and Legal Systems : Political science, international relations, law;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201722508W&PUBLIC=OK
201521846K;Dynamic Microbiology;DYNAMYC;2015;Unité mixte;22;2;http://www.dynamyc.fr;Dynamic, Faculté de Médecine - 8 rue du Général Sarrail;94010;CRÉTEIL;BOTTEREL;Françoise;Directrice;EA 7380,EA 7380;Ecole Nationale Vétérinaire Maisons-Alfort,Université Paris est Créteil Val de Marne;E.N.VETERIN.M.A,UPEC;AUT_ETAB,UNIV;Autres établissements ESR,Université;0940608A,0941111X;19940608300014,19941111700013;TUTE,TUTE;établissement tutelle,établissement tutelle;;;200117108W;essaimage;S;2015;5;Biologie, médecine et santé;"LS6;LS4;LS7";Immunity, Infection and Immunotherapy : The immune system, related disorders and their mechanisms, biology of infectious agents and infection, biological basis of prevention and treatment of infectious diseases, innovative immunological tools and approaches, including therapies,Physiology in Health, Disease and Ageing : Organ and tissue physiology, comparative physiology, physiology of ageing, pathophysiology, inter-organ and tissue communication, endocrinology, nutrition, metabolism, interaction with the microbiome, non-communicable diseases including cancer (and except disorders of the nervous system and immunity-related diseases)),Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201521846K&PUBLIC=OK
201521317K;FED4528 - MALADIES INFECTIEUSES, INFLAMMATOIRES ET IMMUNITAIRES;3I;2015;Structures Fédératives de Recherche;3;3;;Institut Pasteur de Lille - 1 rue du Pr Calmette;59019;LILLE;SIRARD;Jean-Claude;;,,,,;Centre national de la recherche scientifique,Institut national de la sante et de la recherche medicale,Université de Lille (EPE),Institut Pasteur de Lille,Centre Hospitalier Universitaire de Lille;CNRS,INSERM,LILLE,INST PASTEUR LILLE,CHUL;EPST,EPST,UNIV,FONDATION,MEDIC;Organismes de type EPST,Organismes de type EPST,Université,Fondation et institut particulier (Institut pasteur, Institut Curie, etc.),Etablissements de santé;0753639Y,0755364Y,0597239Y,0596852C,;18008901303720,18003604800015,13002975400012,78369683400010,26590671900017;TUTE,TUTE,TUTE,PART,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement participant,établissement participant;;;;;;;;;LS6;Immunity, Infection and Immunotherapy : The immune system, related disorders and their mechanisms, biology of infectious agents and infection, biological basis of prevention and treatment of infectious diseases, innovative immunological tools and approaches, including therapies;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201521317K&PUBLIC=OK
201521334D;Robots coopératifs et adaptés à la présence humaine en environnements;CHROMA;2015;Unité propre;21;2;http://www.inria.fr/equipes/chroma;;38334;Montbonnot St Martin;SIMONIN;Olivier;;;Institut national de la recherche en informatique et automatique;INRIA;EPST;Organismes de type EPST;0780491K;18008904700013;TUTE;établissement tutelle;;199218244V,202224236C;;;;;9;Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201521334D&PUBLIC=OK
201521338H;Optimisation intégrée pour problèmes à structure complexe;INOCS;2015;Unité propre;21;2;;;;;Brotcorne;Luce;;;Institut national de la recherche en informatique et automatique;INRIA;EPST;Organismes de type EPST;0780491K;18008904700013;TUTE;établissement tutelle;;200818245B,201521249L;;;;;9;Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201521338H&PUBLIC=OK
200221896W;Santé et droits sexuels et reproductifs;SDSR;2002;Unité propre;21;2;http://www.ined.fr/fr/recherche/equipes-recherche/UR14;Campus Condorcet - 9, cours des Humanités - CS 50004;93322;Aubervilliers Cedex;DE LA ROCHEBROCHARD,RINGA;Elise,Virginie;,;,,,;Institut national d'études démographiques,Université Versailles Saint-Quentin-en-Yvelines,Institut national de la sante et de la recherche medicale,Université Paris-Saclay;INED,VERSAILLES,INSERM,U PARIS-SACLAY;EPST,UNIV,EPST,UNIV;Organismes de type EPST,Université,Organismes de type EPST,Université;0755360U,0781944P,0755364Y,0912408Y;18003702000021,19781944400013,18003604800015,13002602400054;TUTE,PART,PART,PART;établissement tutelle,établissement participant,établissement participant,établissement participant;;;;;;;5,6,7;Biologie, médecine et santé,Sciences humaines et humanités,Sciences de la société;"LS7;SH2;SH3";Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine,Institutions, Governance and Legal Systems : Political science, international relations, law,The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200221896W&PUBLIC=OK
201621962G;UMR 5317 - INSTITUT D'HISTOIRE DES REPRESENTATIONS DANS LES MODERNITES;IHRIM;2016;Unité mixte;22;2;http://ihrim.ens-lyon.fr;15 parvis René-Descartes;69342;LYON CEDEX 07;GASQUET(SITE CLERMONT-FD),MESTRE - ZARAGOZA,BARA;Axel,Marina,Olivier;,Directrice,Directeur adjoint;UMR 5317,UMR 5317,UMR 5317,UMR 5317,UMR 5317,UMR 5317;Université Jean Monnet Saint-Etienne,Université Lumière Lyon 2,Université Jean Moulin Lyon 3,Centre national de la recherche scientifique,Ecole Normale Supérieure de Lyon,Université Clermont Auvergne  (EPE);SAINT-ETIENNE,LYON 2,LYON 3,CNRS,ENS LYON,U Clermont Auvergne;UNIV,UNIV,UNIV,EPST,AUT_ETAB,UNIV;Université,Université,Université,Organismes de type EPST,Autres établissements ESR,Université;0421095M,0691775E,0692437Z,0753639Y,0694123G,0632084Y;19421095100423,19691775100014,19692437700282,18008901303720,13000812100019,13002806100013;TUTE,TUTE,TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;201623051R,201623050P,200823048X;200610832C;199911729H,199512041P;"fusion;fusion";"F;F";"2016;2016";6;Sciences humaines et humanités;SH6;The Study of the Human Past : Archaeology and history;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201621962G&PUBLIC=OK
201621965K;Laboratoire de Droit International Européen;LADIE;2016;Unité propre;21;2;;Campus Trotabas, Avenue Doyen Louis Trotabas;06050;NICE CEDEX 1;MILLET-DELVALLE,FERRAND-TRIBOLO;Anne-Sophie,Julie;Directrice,Directrice adjointe;UPR 7414;Université Côte d'Azur;UniCA;UNIV;Université;0062205P;13002566100013;TUTE;établissement tutelle;;;199613749S,200014479T;"fusion;fusion";"F;F";"2016;2016";7;Sciences de la société;SH2;Institutions, Governance and Legal Systems : Political science, international relations, law;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201621965K&PUBLIC=OK
197412323M;LABORATOIRE DE PHYSIQUE DE CLERMONT AUVERGNE;LPCA;1996;Unité mixte;22;2;http://clrwww.in2p3.fr/;4 Avenue  Blaise Pascal - CS 60026;63178;Aubière Cedex;CALVET,PALLIN;David,Dominique;Directeur adjoint,;UMR 6533,UMR 6533;Centre national de la recherche scientifique,Université Clermont Auvergne  (EPE);CNRS,U Clermont Auvergne;EPST,UNIV;Organismes de type EPST,Université;0753639Y,0632084Y;18008901303720,13002806100013;TUTE,TUTE;établissement tutelle,établissement tutelle;201723079S,201723077P,201723072J,201723071H,201723070G,201723069F,199123078D;200810760R;;;;;2,3,5;Physique,Sciences de la terre et de l'univers, espace,Biologie, médecine et santé;"PE2;PE9;LS2";Fundamental constituents of matter : particle, nuclear, plasma, atomic, molecular, gas, and optical physics,Universe Sciences : Astro-physics/-chemistry/-biology,solar system,planetary systems,stellar, galactic and extragalactic astronomy,cosmology,space sciences,astronomical instrumentation and data,Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=197412323M&PUBLIC=OK
199021978M;Centre de Recherche en Architecture et Ingénierie;MAP-CRAI;1987;Unité propre;21;2;http://meurthe.crai.archi.fr;2, rue Bastien Lepage;54000;Nancy;MEYER;Julien;Directeur;;Ecole Nationale Supérieure d'Architecture de Nancy;EC. ARCHI. NANCY;AUT_ETAB;Autres établissements ESR;0540135D;19540135100026;TUTE;établissement tutelle;;201220444Z;;;;;9;Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199021978M&PUBLIC=OK
201521297N;Modèle de cellules souches malignes et thérapeutiques;ONCOSTEM;2015;Unité mixte;22;2;;;;;TURHAN;Ali;DIR;U 1310,;Institut national de la sante et de la recherche medicale,Université Paris-Saclay;INSERM,U PARIS-SACLAY;EPST,UNIV;Organismes de type EPST,Université;0755364Y,0912408Y;18003604800015,13002602400054;TUTE,TUTE;établissement tutelle,établissement tutelle;;;200616442A,201019136L,201019169X;"éclatement - fusion;éclatement - fusion;éclatement - fusion";"EF;EF;EF";"2015;2015;2015";5;Biologie, médecine et santé;"LS3;LS7";Cellular, Developmental and Regenerative Biology : Structure and function of the cell, cell-cell communication, embryogenesis, tissue differentiation, organogenesis, growth, development, evolution of development, organoids, stem cells, regeneration, therapeutic approaches,Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201521297N&PUBLIC=OK
201521301T;Institut des Sciences des Plantes de Paris Saclay;IPS2;2015;Unité mixte;22;2;http://www.ips2.u-psud.fr/;UNIV PARIS-SACLAY, Bat 630, Rue de Noetzlin;91405;ORSAY CEDEX;BENDAHMANE,CRESPI,FRUGIER;Abdelhafid,Martin,Florian;DIR-ADJ,DIR,DIR-ADJ;UMR 9213,UMR 9213,UMR 1403,UMR 9213,UMR 9213;Université d'Evry-Val d'Essonne,Centre national de la recherche scientifique,Institut national de recherche pour l'agriculture, l'alimentation et l'environnement,Université Paris Cité,Université Paris-Saclay;EVRY,CNRS,INRAE,U PARIS Cité,U PARIS-SACLAY;UNIV,EPST,EPST,UNIV,UNIV;Université,Organismes de type EPST,Organismes de type EPST,Université,Université;0911975C,0753639Y,,0755976N,0912408Y;19911975100014,18008901303720,18007003901803,13002573700011,13002602400054;TUTE,TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;199817726F;;199812943G,200217010K,200217850Y;"éclatement - fusion;éclatement - fusion;fusion";"EF;EF;F";"2015;2015;2015";5;Biologie, médecine et santé;"LS9;LS2";Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201521301T&PUBLIC=OK
199712667L;Laboratoire de Biologie du développement;LBD;1997;Unité mixte;22;2;https://www.ibps.sorbonne-universite.fr/fr/Recherche/umr-biologie-developpement;9 Quai Saint-Bernard;75252;PARIS CEDEX 05;MAUNOURY-SCHNEIDER,JAFFREDO;Sylvie,Thierry;Directrice-adjointe,DIR;UMR 7622,UMR 7622,;Centre national de la recherche scientifique,Sorbonne Université,Institut national de la sante et de la recherche medicale;CNRS,SORBONNE UNIV.,INSERM;EPST,UNIV,EPST;Organismes de type EPST,Université,Organismes de type EPST;0753639Y,0755890V,0755364Y;18008901303720,13002338500011,18003604800015;TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement participant;;;;;;;5;Biologie, médecine et santé;"LS1;LS2";Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling,Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199712667L&PUBLIC=OK
201521321P;FED4261 - DEMENCE DES MALADIES NEUROLOGIQUES ET MENTALES;DN2M;2015;Structures Fédératives de Recherche;3;3;http://www.dementia-neuropsy-lille.fr/;Bâtiment Biserte, Rue Polonovski;59045;LILLE;BUEE;Luc;;,FED 4261,,;Institut national de la sante et de la recherche medicale,Université de Lille (EPE),Centre national de la recherche scientifique,Institut Pasteur de Lille;INSERM,LILLE,CNRS,INST PASTEUR LILLE;EPST,UNIV,EPST,FONDATION;Organismes de type EPST,Université,Organismes de type EPST,Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0755364Y,0597239Y,0753639Y,0596852C;18003604800015,13002975400012,18008901303720,78369683400010;TUTE,TUTE,PART,PART;établissement tutelle,établissement tutelle,établissement participant,établissement participant;;;;;;;5;Biologie, médecine et santé;LS5;Neuroscience and Disorders of the Nervous System : Nervous system development, homeostasis and ageing, nervous system function and dysfunction, systems neuroscience and modelling, biological basis of cognitive processes and of behaviour, neurological and mental disorders;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201521321P&PUBLIC=OK
