numero_national_de_structure;libelle;sigle;annee_de_creation;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;site_web;adresse;code_postal;commune;nom_du_responsable;prenom_du_responsable;titre_du_responsable;label_numero;tutelles;sigles_des_tutelles;code_de_nature_de_tutelle;nature_de_tutelle;uai_des_tutelles;siret_des_tutelles;code_de_type_de_tutelle;type_de_tutelle;numero_de_structure_enfant;numero_de_structure_parent;numero_de_structure_historique;type_de_succession;code_de_type_de_succession;annee_d_effet_historique;code_domaine_scientifique;domaine_scientifique;code_panel_erc;panel_erc;fiche_rnsr
201019181K;Institut Farman;FARMAN;2010;Structures Fédératives de Recherche;3;3;;ENS PARIS-SACLAY, 4 Avenue des Sciences;91190;GIF SUR YVETTE;FRIBOURG,VOURC'H;Laurent,Eric;DIR,DIR-ADJ;FR 3311,FR 3311,FR 3311;Ecole normale supérieure Paris-Saclay,Centre national de la recherche scientifique,Université Paris-Saclay;ENS Paris-Saclay,CNRS,U PARIS-SACLAY;AUT_ETAB,EPST,UNIV;Autres établissements ESR,Organismes de type EPST,Université;0912423P,0753639Y,0912408Y;19940607500036,18008901303720,13002602400054;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;200212702C;;;;;;1,8,9;Mathématiques et leurs interactions,Sciences pour l'ingénieur,Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201019181K&PUBLIC=OK
200715392E;SCIENCES, SOCIETE, HISTORICITE, EDUCATION, PRATIQUES (S2HEP);S2HEP;2007;Unité mixte;22;2;http://s2hep.univ-lyon1.fr/;UNIVERSITE CLAUDE BERNARD LYON 1, Campus de la Doua, Bât. La Pagode, 38 rue Niels Bohr;69622;VILLEURBANNE CEDEX;BRUGUIERE;Catherine;Directrice;,;Université Claude Bernard Lyon 1,Ecole Normale Supérieure de Lyon;LYON 1,ENS LYON;UNIV,AUT_ETAB;Université,Autres établissements ESR;0691774D,0694123G;19691774400019,13000812100019;TUTE,TUTE;établissement tutelle,établissement tutelle;;;200316073M,200316051N,199313548L;"fusion;fusion;fusion";"F;F;F";"2007;2007;2007";6;Sciences humaines et humanités;"SH4;SH2";The Human Mind and Its Complexity : Cognitive science, psychology, linguistics, theoretical philosophy,Institutions, Governance and Legal Systems : Political science, international relations, law;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200715392E&PUBLIC=OK
200715396J;LETTRES, LANGAGES ET ARTS - Création, recherche, Emergence, en Arts, Textes, Images, Spectacles;LLA CREATIS;2007;Unité propre;21;2;http://lla-creatis.univ-tlse2.fr;UNIVERSITE TOULOUSE II LE MIRAILMAISON DE LA RECHERCHE5, Allées Antonio Machado;31058;TOULOUSE CEDEX 09;LARROUX;Guy;Directeur;EA 4152;Université Toulouse - Jean Jaurès;TOULOUSE 2;UNIV;Université;0311383K;19311383400017;TUTE;établissement tutelle;;;200316049L,200314959B,200316046H,199112999Y;"éclatement - fusion;éclatement - fusion;éclatement - fusion;éclatement - fusion";"EF;EF;EF;EF";"2007;2007;2007;2007";6;Sciences humaines et humanités;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200715396J&PUBLIC=OK
200615275G;LABORATOIRE D'INFORMATIQUE DE L'UNIVERSITE DU MANS (LIUM);LIUM;2006;Unité propre;21;2;http://www.univ-lemans.fr;UNIVERSITE DU MANS UFR SCIENCES ET TECHNIQUESAvenue Olivier Messiaen;72085;LE MANS CEDEX 9;GEORGE;Sébastien;Directeur;EA 4023;Le Mans Université;LE MANS;UNIV;Université;0720916E;19720916600010;TUTE;établissement tutelle;;;;;;;6,9;Sciences humaines et humanités,Sciences et technologies de l'information et de la communication;PE6;Computer science and informatics : informatics and information systems, computer science, scientific computing, intelligent systems;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200615275G&PUBLIC=OK
200816530M;INSTITUT DE PSYCHIATRIE ET NEUROSCIENCES DE PARIS / Institute of Psychiatry and Neurosciences of Paris;IPNP;2008;Unité mixte;22;2;https://ipnp.paris5.inserm.fr/;102-108 Rue de la Santé;75014;PARIS;GALLI;Thierry;;U 1266,UMS_S 1266,U 894;Institut national de la sante et de la recherche medicale,Université Paris Cité,Assistance Publique des Hôpitaux de Paris;INSERM,U PARIS Cité,AP-HP;EPST,UNIV,MEDIC;Organismes de type EPST,Université,Etablissements de santé;0755364Y,0755976N,;18003604800015,13002573700011,26750045200011;TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement participant;;;200616423E,200615305P,200616456R,200615301K,200216279R,200216261W;"fusion;fusion;fusion;fusion;fusion;fusion";"F;F;F;F;F;F";"2008;2008;2008;2008;2008;2008";5;Biologie, médecine et santé;LS5;Neuroscience and Disorders of the Nervous System : Nervous system development, homeostasis and ageing, nervous system function and dysfunction, systems neuroscience and modelling, biological basis of cognitive processes and of behaviour, neurological and mental disorders;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200816530M&PUBLIC=OK
200815527X;CENTRE DE RECHERCHES EN ARTS ET EN ESTHÉTIQUE - UR UPJV 4291;CRAE;2008;Unité propre;21;2;https://www.u-picardie.fr/crae/;Université de Picardie Jules Verne - UFR des Arts - 30 rue des Teinturiers;80000;AMIENS;MICHAEL;Androula;;UR 4291;Université Picardie Jules-Verne Amiens;AMIENS;UNIV;Université;0801344B;19801344300017;TUTE;établissement tutelle;;;;;;;6;Sciences humaines et humanités;SH5;Cultures and Cultural Production : Literary studies, cultural studies, study of the arts, philosophy;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200815527X&PUBLIC=OK
199217356E;Institut Charles Sadron (UPR 22);I.C.S;1985;Unité propre;21;2;http://www.ics-cnrs.unistra.fr;CNRS, Institut Charles Sadron, 23 rue du Loess, BP 84047;67034;STRASBOURG CEDEX 2;GAUTHIER;Christian;DIR;UPR 22,UPR 22,UPR 22;Centre national de la recherche scientifique,Institut National des Sciences Appliquées Strasbourg,Université Strasbourg;CNRS,INSA STRASBOURG,U. STRASBOURG;EPST,AUT_ETAB,UNIV;Organismes de type EPST,Autres établissements ESR,Université;0753639Y,0670190T,0673021V;18008901303720,19672767100014,13000545700010;TUTE,PART,PART;établissement tutelle,établissement participant,établissement participant;;;;;;;5,8,9;Biologie, médecine et santé,Sciences pour l'ingénieur,Sciences et technologies de l'information et de la communication;"PE3;LS1;PE8;PE5;LS7;PE4";Condensed matter physics : structure, electronic properties, fluids, nanosciences, biological physics,Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling,Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods,Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry,Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine,Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199217356E&PUBLIC=OK
200117391D;Sciences Pour l'Oenologie;SPO;1999;Unité mixte;22;2;http://www.montpellier.inra.fr/spo/;Inrae - Campus de la Gaillarde Supagro -  2 place Viala;34060;Montpellier;AGEORGES,REMIZE;Agnès,Fabienne;Directrice adjointe,Directrice;UMR 1083,,UMR 1083;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement,Institut national d'enseignement supérieur pour l'agriculture, l'alimentation et l'environnement,Université de Montpellier (EPE);INRAE,Institut Agro,MONTPELLIER;EPST,AUT_ETAB,UNIV;Organismes de type EPST,Autres établissements ESR,Université;,,0342490X;18007003901803,13002622200013,13002979600013;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;10;Sciences agronomiques et écologiques;LS9;Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200117391D&PUBLIC=OK
200715417G;LABORATOIRE COMMUNICATIONS, MÉDIATIONS, ORGANISATIONS, SAVOIRS - UR 4177;CIMEOS;2007;Unité mixte;22;2;http://cimeos.u-bourgogne.fr/;UFR Lettres et Philosophie, Bâtiment Droit Lettres - Bureau 429 - 4 boulevard Gabriel;21000;DIJON;HUGOL GENTIAL,GALIBERT,MASSELOT;Clémentine,Olivier,Cyril;Directrice Adjointe,Directeur,Directeur Adjoint;EA 4177,EA 4177;Université Bourgogne Dijon,Université Bourgogne Franche-Comté;DIJON,UBFC;UNIV,SITE;Université,Site;0211237F,0251985X;19211237300019,13002091000019;TUTE,TUTE;établissement tutelle,établissement tutelle;;;200316043E,200316042D;"fusion;fusion";"F;F";"2007;2007";9;Sciences et technologies de l'information et de la communication;SH2;Institutions, Governance and Legal Systems : Political science, international relations, law;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200715417G&PUBLIC=OK
200815533D;TRANSFORMATIONS INTEGREES DE LA MATIERE RENOUVELABLE;TIMR;2008;Unité propre;21;2;https://timr.utc.fr/;Universite de Technologie de Compiègne Centre de Recherche de Royallieu Rue Personne de Roberval BP 20529;60205;COMPIEGNE CEDEX;PEZRON;Isabelle;DIR;;Université de Technologie de Compiègne;UT COMPIEGNE;UNIV;Université;0601223D;19601223100169;TUTE;établissement tutelle;;;;;;;4;Chimie;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200815533D&PUBLIC=OK
