institution_country_code,year,institution_id,institution_display_name,institution_ror,institution_type,nb,id_paysage_init,id_paysage__init,id_paysage_corr,id_paysage_RGP,id_paysage,id_paysage_actuel,uo_lib
FR,2023,https://openalex.org/I106785703,Grenoble Institute of Technology,05sbt2524,education,1026,2ALYK,,,Y7ch7,2ALYK,2ALYK,Institut polytechnique de Grenoble
FR,2018,https://openalex.org/I17866349,Université de Toulouse,004raaa70,education,1013,4a8B2,,,4a8B2,4a8B2,4a8B2,Université de Toulouse
FR,2020,https://openalex.org/I1326498283,French Institute for Research in Computer Science and Automation,02kvxyf05,government,1010,E1Wdn,,,,E1Wdn,E1Wdn,Institut national de recherche en sciences et technologies du numérique
FR,2022,https://openalex.org/I90183372,Université de Lorraine,04vfs2w97,education,1008,t6Cq5,,,LorStr,t6Cq5,t6Cq5,Université de Lorraine
FR,2020,https://openalex.org/I90183372,Université de Lorraine,04vfs2w97,education,999,t6Cq5,,,LorStr,t6Cq5,t6Cq5,Université de Lorraine
FR,2020,https://openalex.org/I21491767,Aix-Marseille University,035xkbk20,education,992,xJdyB,,,TW2ed,xJdyB,xJdyB,Aix-Marseille Université
FR,2020,https://openalex.org/I4210088668,"National Research Institute for Agriculture, Food and Environment",003vg9w96,government,991,t4SA4,,,,t4SA4,t4SA4,"Institut national de recherche pour l'agriculture, l'alimentation et l'environnement"
FR,2022,https://openalex.org/I106785703,Grenoble Institute of Technology,05sbt2524,education,965,2ALYK,,,Y7ch7,2ALYK,2ALYK,Institut polytechnique de Grenoble
FR,2019,https://openalex.org/I56067802,University of Rennes,015m7wh34,education,964,91D9w,91D9w,9wAap,91D9w,9wAap,91D9w,Université de Rennes
FR,2021,https://openalex.org/I106785703,Grenoble Institute of Technology,05sbt2524,education,959,2ALYK,,,Y7ch7,2ALYK,2ALYK,Institut polytechnique de Grenoble
FR,2023,https://openalex.org/I21491767,Aix-Marseille University,035xkbk20,education,959,xJdyB,,,TW2ed,xJdyB,xJdyB,Aix-Marseille Université
FR,2021,https://openalex.org/I56067802,University of Rennes,015m7wh34,education,951,91D9w,91D9w,9wAap,91D9w,9wAap,91D9w,Université de Rennes
FR,2020,https://openalex.org/I2279609970,University of Lille,02kzqn938,education,942,U8a0v,,,U8a0v,U8a0v,U8a0v,Université de Lille
FR,2023,https://openalex.org/I90183372,Université de Lorraine,04vfs2w97,education,941,t6Cq5,,,LorStr,t6Cq5,t6Cq5,Université de Lorraine
FR,2023,https://openalex.org/I134560555,Université Toulouse III - Paul Sabatier,02v6kpv12,education,938,m7K6T,,,4a8B2,m7K6T,m7K6T,Université Toulouse III - Paul Sabatier
FR,2023,https://openalex.org/I15057530,University of Bordeaux,057qpr032,education,937,90I54,,,XeJDw,90I54,90I54,Université de Bordeaux
FR,2020,https://openalex.org/I106785703,Grenoble Institute of Technology,05sbt2524,education,937,2ALYK,,,Y7ch7,2ALYK,2ALYK,Institut polytechnique de Grenoble
